BusStopName,BusStopID,BusRouteName,BusRouteID,NumberOfDirections,PeakHourFq,PeakHourFq_less,RefBusStop,RefDirection,DailyFq,TransitType
錦糸町駅前,363,FL01,1,,,,,,,B
江東車庫前,362,FL01,1,,,,,,,B
亀戸一丁目,360,FL01,1,,,,,,,B
亀戸駅通り,357,FL01,1,,,,,,,B
環境ふれあい館ひまわり入口,311,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
鳥越神社前,314,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
三筋児童遊園,297,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
寿三丁目,287,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
大江戸線蔵前駅,281,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
田原町駅,255,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
浅草雷門,231,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
浅草駅,222,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
雷門通り,225,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
花川戸,203,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
リバーサイドスポーツセンター前,169,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
桜橋中学校前,151,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
浅草病院前,126,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
橋場一丁目,110,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
橋場二丁目アパート前,97,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
橋場二丁目,91,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
清川清掃車庫,94,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
清川一丁目,103,ぐるーりめぐりん,2,1,3,,リバーサイドスポーツセンター前,,,B
リバーピア吾妻橋前,247,上23,3,2,4,3,押上駅,上野松坂屋前,,B
浅草雷門,229,上23,3,2,4,3,押上駅,上野松坂屋前,,B
墨田区役所前,239,上23,3,2,4,3,押上駅,上野松坂屋前,,B
本所吾妻橋,262,上23,3,2,4,3,押上駅,上野松坂屋前,,B
浅草寿町,245,上23,3,2,4,3,押上駅,上野松坂屋前,,B
とうきょうスカイツリー駅入口,259,上23,3,2,4,3,押上駅,上野松坂屋前,,B
押上,253,上23,3,2,4,3,押上駅,上野松坂屋前,,B
十間橋,266,上23,3,2,4,3,押上駅,上野松坂屋前,,B
十間橋通り,227,上23,3,2,4,3,押上駅,上野松坂屋前,,B
文花三丁目,215,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井駅前,280,上23,3,1,4,3,押上駅,上野松坂屋前,,B
平井操車所,223,上23,3,2,4,3,押上駅,上野松坂屋前,,B
中居堀,206,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井小学校前,243,上23,3,2,4,3,押上駅,上野松坂屋前,,B
八広二丁目,184,上23,3,2,4,3,押上駅,上野松坂屋前,,B
東墨田一丁目,178,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井七丁目第三アパート前,194,上23,3,2,4,3,押上駅,上野松坂屋前,,B
社会福祉会館前,157,上23,3,2,4,3,押上駅,上野松坂屋前,,B
中平井,177,上23,3,1,4,3,押上駅,上野松坂屋前,,B
東墨田三丁目,160,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井西袋,213,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井七丁目北公園前,176,上23,3,2,4,3,押上駅,上野松坂屋前,,B
東墨田二丁目,133,上23,3,2,4,3,押上駅,上野松坂屋前,,B
東墨田会館前,140,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井六丁目交番前,218,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井七丁目,196,上23,3,2,4,3,押上駅,上野松坂屋前,,B
平井駅前,280,上23出入,4,,,,,,,B
平井小学校前,243,上23出入,4,,,,,,,B
東墨田一丁目,178,上23出入,4,,,,,,,B
平井七丁目第三アパート前,194,上23出入,4,,,,,,,B
中平井,177,上23出入,4,,,,,,,B
東墨田三丁目,160,上23出入,4,,,,,,,B
平井七丁目北公園前,176,上23出入,4,,,,,,,B
東墨田会館前,140,上23出入,4,,,,,,,B
平井六丁目交番前,218,上23出入,4,,,,,,,B
平井七丁目,196,上23出入,4,,,,,,,B
八広,106,上23出入,4,,,,,,,B
八広六丁目,118,上23出入,4,,,,,,,B
四ツ木橋南詰,85,上23出入,4,,,,,,,B
四ツ木橋,59,上23出入,4,,,,,,,B
太平三丁目,318,上26,5,2,1,1,横川三丁目,上野公園,,B
太平四丁目,317,上26,5,2,1,1,横川三丁目,上野公園,,B
亀戸天神前,316,上26,5,2,1,1,横川三丁目,上野公園,,B
横川三丁目,298,上26,5,2,1,1,横川三丁目,上野公園,,B
業平四丁目,284,上26,5,2,1,1,横川三丁目,上野公園,,B
とうきょうスカイツリー駅前,238,上26,5,2,1,1,横川三丁目,上野公園,,B
押上,253,上26,5,2,1,1,横川三丁目,上野公園,,B
言問橋,209,上26,5,2,1,1,横川三丁目,上野公園,,B
亀戸四丁目,313,上26,5,2,1,1,横川三丁目,上野公園,,B
隅田公園,192,上26,5,2,1,1,横川三丁目,上野公園,,B
浅草二丁目,181,上26,5,2,1,1,横川三丁目,上野公園,,B
浅草寿町,245,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
南千住三丁目,72,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
南千住清掃車車庫前,78,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
都立産業技術高専荒川キャンパス前,64,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
南千住八丁目,52,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
荒川区立第三中学校前,44,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
汐入公園前,49,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
はなみずき通り中央,40,上46,6,2,5,5,南千住八丁目,上野松坂屋前,,B
両国四丁目,376,両28,7,1,3,2,緑三丁目,両国駅前,,B
緑一丁目,373,両28,7,2,3,2,緑三丁目,両国駅前,,B
両国駅前,369,両28,7,1,3,2,緑三丁目,両国駅前,,B
両国駅入口,377,両28,7,1,3,2,緑三丁目,両国駅前,,B
都営両国駅前,355,両28,7,1,3,2,緑三丁目,両国駅前,,B
緑二丁目,372,両28,7,2,3,2,緑三丁目,両国駅前,,B
緑三丁目,370,両28,7,2,3,2,緑三丁目,両国駅前,,B
江東橋,368,両28,7,2,3,2,緑三丁目,両国駅前,,B
旧安田庭園前,333,両28,7,1,3,2,緑三丁目,両国駅前,,B
錦糸町駅前,363,両28,7,2,3,2,緑三丁目,両国駅前,,B
江東車庫前,362,両28,7,2,3,2,緑三丁目,両国駅前,,B
亀戸一丁目,360,両28,7,2,3,2,緑三丁目,両国駅前,,B
亀戸駅通り,357,両28,7,2,3,2,緑三丁目,両国駅前,,B
亀戸駅通り,357,亀23,8,1,2,,亀戸駅通り,,,B
亀戸駅通り,357,亀24,9,2,6,5,亀戸駅通り,亀戸駅前,,B
亀戸駅通り,357,亀29,10,2,7,7,亀戸駅通り,亀戸駅前,,B
浅草駅,222,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
浅草松屋西,216,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
二天門,201,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
花川戸,203,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
隅田公園,193,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
浅草寺北,182,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
リバーサイドスポーツセンター前,169,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
今戸一丁目,146,北めぐりん（浅草回り）,11,1,4,,リバーサイドスポーツセンター前,,,B
